pheno_name,code_clean,vocab,description,info
AMI,I23,ICD10,Certain current complications following acute myocardial infarction,PH949_v2127
AMI,I21,ICD10,Acute myocardial infarction,PH949_v2127
AMI,I22,ICD10,Subsequent myocardial infarction,PH949_v2127
AMI,I241,ICD10,Dressler's syndrome,PH949_v2127
AMI,I252,ICD10,Old myocardial infarction,PH949_v2127
AMI,G363.,Read2,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI                                                                                                                                                                                                     ,PH949_v2127
AMI,G364.,Read2,Ruptur chordae tendinae/curr comp fol acute myocard infarct                                                                                                                                                                                                    ,PH949_v2127
AMI,G307.,Read2,Acute subendocardial infarction                                                                                                                                                                                                                                ,PH949_v2127
AMI,G3011,Read2,Acute anteroseptal infarction                                                                                                                                                                                                                                  ,PH949_v2127
AMI,14A3.,Read2,H/O: myocardial infarct <60                                                                                                                                                                                                                                    ,PH949_v2127
AMI,G30X.,Read2,Acute transmural myocardial infarction of unspecif site                                                                                                                                                                                                        ,PH949_v2127
AMI,G304.,Read2,Posterior myocardial infarction NOS                                                                                                                                                                                                                            ,PH949_v2127
AMI,G300.,Read2,Acute anterolateral infarction                                                                                                                                                                                                                                 ,PH949_v2127
AMI,G31y1,Read2,Microinfarction of heart                                                                                                                                                                                                                                       ,PH949_v2127
AMI,14A4.,Read2,H/O: myocardial infarct >60                                                                                                                                                                                                                                    ,PH949_v2127
AMI,3236,Read2,ECG: lateral infarction                                                                                                                                                                                                                                        ,PH949_v2127
AMI,G3070,Read2,Acute non-Q wave infarction                                                                                                                                                                                                                                    ,PH949_v2127
AMI,323Z.,Read2,ECG: myocardial infarct NOS                                                                                                                                                                                                                                    ,PH949_v2127
AMI,G30y.,Read2,Other acute myocardial infarction                                                                                                                                                                                                                              ,PH949_v2127
AMI,889A.,Read2,Diab mellit insulin-glucose infus acute myocardial infarct                                                                                                                                                                                                     ,PH949_v2127
AMI,G384.,Read2,Postoperative subendocardial myocardial infarction                                                                                                                                                                                                             ,PH949_v2127
AMI,G3010,Read2,Acute anteroapical infarction                                                                                                                                                                                                                                  ,PH949_v2127
