pheno_name,code_clean,vocab,description,info
Anxiety,E2000,Read2,anxiety state unspecified,PH1113_v2453
Anxiety,Eu41z,Read2,"[x]anxiety disord unspecified | [x]anxiety disorder, unspecified",PH1113_v2453
Anxiety,Eu932,Read2,[x]social anx dis childhood | [x]social anxiety disorder of childhood,PH1113_v2453
Anxiety,E2021,Read2,agoraphobia with panic attacks,PH1113_v2453
Anxiety,E2D00,Read2,child/adolesc.overanxious.dis. | childhood and adolescent overanxiousness disturbance,PH1113_v2453
Anxiety,E202A,Read2,fear of flying,PH1113_v2453
Anxiety,Eu40.,Read2,[x]phobic anxiety disorders,PH1113_v2453
Anxiety,E2001,Read2,panic disorder,PH1113_v2453
Anxiety,Eu413,Read2,[x]other mixed anxiety disord | [x]other mixed anxiety disorders,PH1113_v2453
Anxiety,E2020,Read2,phobia unspecified,PH1113_v2453
Anxiety,E202z,Read2,phobic disorder nos,PH1113_v2453
Anxiety,E28z.,Read2,acute stress reaction nos,PH1113_v2453
Anxiety,Eu421,Read2,[x]predom compuls acts/ritual | [x]predominantly compulsive acts [obsessional rituals],PH1113_v2453
Anxiety,Eu410,Read2,[x]panic episodic paroxysm anx | [x]panic disorder [episodic paroxysmal anxiety],PH1113_v2453
Anxiety,E2002,Read2,generalised anxiety disorder,PH1113_v2453
Anxiety,E2027,Read2,animal phobia,PH1113_v2453
Anxiety,Eu42y,Read2,[x]oth obsessve-compulsve dis | [x]other obsessive-compulsive disorders,PH1113_v2453
Anxiety,E202B,Read2,cancer phobia,PH1113_v2453
Anxiety,Eu422,Read2,[x]mixed obsess thoughts/acts | [x]mixed obsessional thoughts and acts,PH1113_v2453
Anxiety,E2023,Read2,"social phobia-eating in public | social phobia, fear of eating in public",PH1113_v2453
Anxiety,E2005,Read2,recurrent anxiety,PH1113_v2453
Anxiety,E2004,Read2,chronic anxiety,PH1113_v2453
Anxiety,E2031,Read2,obsessional neurosis,PH1113_v2453
Anxiety,E200.,Read2,anxiety states,PH1113_v2453
Anxiety,Eu401,Read2,[x]social phobias,PH1113_v2453
Anxiety,E2030,Read2,compulsive neurosis,PH1113_v2453
Anxiety,E2028,Read2,claustrophobia,PH1113_v2453
Anxiety,Eu402,Read2,[x]specific (isolated) phobia | [x]specific (isolated) phobias,PH1113_v2453
Anxiety,E203.,Read2,obsessive-compulsive disorders,PH1113_v2453
Anxiety,Eu42.,Read2,[x]obsessive - compulsive dis | [x]obsessive - compulsive disorder,PH1113_v2453
Anxiety,E202D,Read2,fear of death,PH1113_v2453
Anxiety,E200z,Read2,anxiety state nos,PH1113_v2453
Anxiety,E202C,Read2,dental phobia,PH1113_v2453
Anxiety,E2025,Read2,"social phobia-public washing | social phobia, fear of public washing",PH1113_v2453
Anxiety,E2022,Read2,agoraphobia - no panic attacks | agoraphobia without mention of panic attacks,PH1113_v2453
Anxiety,Eu931,Read2,[x]phobic anxiet dis childhood | [x]phobic anxiety disorder of childhood,PH1113_v2453
Anxiety,Eu403,Read2,[x]needle phobia,PH1113_v2453
Anxiety,Eu400,Read2,[x]agoraphobia,PH1113_v2453
Anxiety,E2024,Read2,"social phobia-public speaking | social phobia, fear of public speaking",PH1113_v2453
Anxiety,E202.,Read2,phobic disorders,PH1113_v2453
Anxiety,Eu420,Read2,[x]predom obsessional thoughts | [x]predominantly obsessional thoughts or ruminations,PH1113_v2453
Anxiety,E203z,Read2,obsessive-compulsive dis nos | obsessive-compulsive disorder nos,PH1113_v2453
Anxiety,E2D0z,Read2,anxiety/fear child/adolesc.nos | disturbance anxiety and fearfulness childhood/adolescent nos | disturbance of anxiety and fearfulness in childhood and adolescence nos,PH1113_v2453
Anxiety,E2D01,Read2,child/adolesc.fearfulness dis. | childhood and adolescent fearfulness disturbance,PH1113_v2453
Anxiety,Eu41y,Read2,[x]other specif anxiety disord | [x]other specified anxiety disorders,PH1113_v2453
Anxiety,Eu40z,Read2,"[x]phobic anxiety disordr unsp | [x]phobic anxiety disorder, unspecified",PH1113_v2453
Anxiety,Eu411,Read2,[x]generalized anxiety disord | [x]generalized anxiety disorder,PH1113_v2453
Anxiety,Eu930,Read2,[x]separ anxiety dis childhood | [x]separation anxiety disorder of childhood,PH1113_v2453
Anxiety,Eu41.,Read2,[x]other anxiety disorders,PH1113_v2453
Anxiety,E2920,Read2,separation anxiety disorder,PH1113_v2453
Anxiety,E202E,Read2,fear of pregnancy,PH1113_v2453
Anxiety,E2D0.,Read2,anxiety/fear child/adoles.dis. | disturbance of anxiety and fearfulness childhood/adolescent | disturbance of anxiety and fearfulness in childhood and adolescence,PH1113_v2453
Anxiety,E2026,Read2,acrophobia,PH1113_v2453
Anxiety,Eu40y,Read2,[x]other phobic anxiety disord | [x]other phobic anxiety disorders,PH1113_v2453
Anxiety,Eu42z,Read2,"[x]obsessve-complsve dis unsp | [x]obsessive-compulsive disorder, unspecified",PH1113_v2453
Anxiety,E2029,Read2,fear of crowds,PH1113_v2453
Anxiety,F411,ICD10,generalized anxiety disorder,PH1113_v2453
Anxiety,F400,ICD10,agoraphobia,PH1113_v2453
Anxiety,F930,ICD10,separation anxiety disorder of childhood,PH1113_v2453
Anxiety,F42,ICD10,obsessive-compulsive disorder,PH1113_v2453
Anxiety,F413,ICD10,other mixed anxiety disorders,PH1113_v2453
Anxiety,F402,ICD10,specific (isolated) phobias,PH1113_v2453
Anxiety,F401,ICD10,social phobias,PH1113_v2453
Anxiety,F421,ICD10,predominantly compulsive acts [obsessional rituals],PH1113_v2453
Anxiety,F931,ICD10,phobic anxiety disorder of childhood,PH1113_v2453
Anxiety,F422,ICD10,mixed obsessional thoughts and acts,PH1113_v2453
Anxiety,F932,ICD10,social anxiety disorder of childhood,PH1113_v2453
Anxiety,F40,ICD10,phobic anxiety disorders,PH1113_v2453
Anxiety,F410,ICD10,panic disorder [episodic paroxysmal anxiety],PH1113_v2453
Anxiety,F428,ICD10,other obsessive-compulsive disorders,PH1113_v2453
Anxiety,F419,ICD10,"anxiety disorder, unspecified",PH1113_v2453
Anxiety,F409,ICD10,"phobic anxiety disorder, unspecified",PH1113_v2453
Anxiety,F420,ICD10,predominantly obsessional thoughts or ruminations,PH1113_v2453
Anxiety,F418,ICD10,other specified anxiety disorders,PH1113_v2453
Anxiety,F429,ICD10,"obsessive-compulsive disorder, unspecified",PH1113_v2453
Anxiety,F41,ICD10,other anxiety disorders,PH1113_v2453
Anxiety,F408,ICD10,other phobic anxiety disorders,PH1113_v2453
Anxiety,Eu412,Read2,[X]Mixed anxiety and depressive disorder,PH1113_v2453
Anxiety,E2003,Read2,Anxiety with depression,PH1113_v2453
Anxiety,F412,ICD10,mixed anxiety and depressive disorder,PH1113_v2453
Anxiety,225J.,Read2,o/e - panic attack,PH1113_v2453
Anxiety,1B12.,Read2,nerves - nervousness,PH1113_v2453
Anxiety,1B13.,Read2,anxiousness,PH1113_v2453
Anxiety,2259,Read2,o/e - nervous,PH1113_v2453
Anxiety,1B1V.,Read2,c/o - panic attack,PH1113_v2453
Anxiety,2258,Read2,o/e - anxious,PH1113_v2453
Anxiety,R2y2.,Read2,[d]nervousness,PH1113_v2453
Anxiety,8HHp.,Read2,	ref guid self-help for anxiety | referral for guided self-help for anxiety,PH1113_v2453
Anxiety,8G52.,Read2,	antiphobic therapy,PH1113_v2453
Anxiety,8G94.,Read2,	anxiety management training,PH1113_v2453
Anxiety,d28x.,Read2,hydroxyzine hcl 10mg tablets,PH1113_v2453
Anxiety,d285.,Read2,ucerax 10mg/5ml syrup,PH1113_v2453
Anxiety,d219.,Read2,*alupram 10mg tablets,PH1113_v2453
Anxiety,d268.,Read2,clobazam 10mg/5ml oral susp | clobazam 10mg/5ml oral suspension,PH1113_v2453
Anxiety,d245.,Read2,*chlordiazepoxide hcl 25mg tab | chlordiazepoxide hydrochloride 25mg tablets,PH1113_v2453
Anxiety,d1an.,Read2,*euhypnos 10mg/5ml oral soln | euhypnos 10mg/5ml oral solution,PH1113_v2453
Anxiety,d16..,Read2,loprazolam,PH1113_v2453
Anxiety,d21k.,Read2,stesolid 5mg rectal solution,PH1113_v2453
Anxiety,d132.,Read2,*welldorm 225mg/5ml elixir,PH1113_v2453
Anxiety,d182.,Read2,nitrazepam 5mg tablets,PH1113_v2453
Anxiety,d2a3.,Read2,*almazine 1mg tablets,PH1113_v2453
Anxiety,d213.,Read2,diazepam 2mg tablets,PH1113_v2453
Anxiety,d153.,Read2,*paxane 15mg capsules,PH1113_v2453
Anxiety,d21n.,Read2,tensium 5mg tablets,PH1113_v2453
Anxiety,d1f1.,Read2,stilnoct 5mg tablets,PH1113_v2453
Anxiety,d119.,Read2,chloral hydrate 500mg/5ml syr | chloral hydrate 500mg/5ml syrup,PH1113_v2453
Anxiety,d291.,Read2,*anxon 15mg capsules,PH1113_v2453
Anxiety,d246.,Read2,*chlordiazepoxide 5mg tablets,PH1113_v2453
Anxiety,d1ai.,Read2,*temazepam gel filled 30mg cap | temazepam gel filled 30mg capsules,PH1113_v2453
Anxiety,d161.,Read2,loprazolam 1mg tablets,PH1113_v2453
Anxiety,d121.,Read2,*heminevrin 192mg capsules,PH1113_v2453
Anxiety,d21a.,Read2,*atensine 2mg tablets,PH1113_v2453
Anxiety,d25..,Read2,chlormezanone,PH1113_v2453
Anxiety,d2bz.,Read2,*medazepam 10mg capsules,PH1113_v2453
Anxiety,d283.,Read2,*atarax 10mg/5ml syrup,PH1113_v2453
Anxiety,d21j.,Read2,*stesolid 20mg/4ml injection,PH1113_v2453
Anxiety,d247.,Read2,*chlordiazepoxide 10mg tablets,PH1113_v2453
Anxiety,d211.,Read2,*diazepam 2mg capsules,PH1113_v2453
Anxiety,d1aj.,Read2,*temazepam 10mg/sachet soln | temazepam 10mg/sachet oral solution,PH1113_v2453
Anxiety,d1hz.,Read2,melatonin 2mg m/r tablets,PH1113_v2453
Anxiety,d27..,Read2,clorazepate dipotassium,PH1113_v2453
Anxiety,d1a5.,Read2,*temazepam 10mg/5ml elixir,PH1113_v2453
Anxiety,d1f..,Read2,zolpidem,PH1113_v2453
Anxiety,d115.,Read2,welldorm 143mg/5ml elixir,PH1113_v2453
Anxiety,d267.,Read2,tapclob 10mg/5ml oral susp | tapclob 10mg/5ml oral suspension,PH1113_v2453
Anxiety,d187.,Read2,*nitrados 5mg tablets,PH1113_v2453
Anxiety,d2a..,Read2,lorazepam [anxiolytic],PH1113_v2453
Anxiety,d2f2.,Read2,*buspar 5mg tablets,PH1113_v2453
Anxiety,d13y.,Read2,*dichloralphenazone 650mg tabs | dichloralphenazone 650mg tablets,PH1113_v2453
Anxiety,d24h.,Read2,tropium 5mg tablets,PH1113_v2453
Anxiety,d1d1.,Read2,zopiclone 7.5mg tablets,PH1113_v2453
Anxiety,d2f..,Read2,buspirone hydrochloride,PH1113_v2453
Anxiety,d1ae.,Read2,*temazepam gelthix 30mg caps | temazepam gelthix 30mg capsules,PH1113_v2453
Anxiety,d1h1.,Read2,circadin 2mg m/r tablets,PH1113_v2453
Anxiety,d1d2.,Read2,zimovane 7.5mg tablets,PH1113_v2453
Anxiety,d2a7.,Read2,ativan 4mg/1ml injection,PH1113_v2453
Anxiety,d21r.,Read2,*valium 2mg tablets,PH1113_v2453
Anxiety,d186.,Read2,mogadon 5mg tablets,PH1113_v2453
Anxiety,d29..,Read2,*ketazolam,PH1113_v2453
Anxiety,d2g2.,Read2,anexate 500mcg/5ml injection | anexate 500micrograms/5ml injection,PH1113_v2453
Anxiety,d183.,Read2,*nitrazepam 10mg tablets,PH1113_v2453
Anxiety,d264.,Read2,frisium 10mg tablets,PH1113_v2453
Anxiety,d21c.,Read2,*atensine 10mg tablets,PH1113_v2453
Anxiety,d122.,Read2,*heminevrin 250mg/5ml syrup,PH1113_v2453
Anxiety,d1i5.,Read2,dexdor 1mg/10ml conc for inf | dexdor 1mg/10ml concentrate for solution for infusion,PH1113_v2453
Anxiety,d243.,Read2,chlordiazepoxide hcl 5mg tabs | chlordiazepoxide hydrochloride 5mg tablets,PH1113_v2453
Anxiety,d22..,Read2,alprazolam,PH1113_v2453
Anxiety,d21v.,Read2,valium [anxiol] 10mg/2ml inj | valium [anxiol] 10mg/2ml injection,PH1113_v2453
Anxiety,d18b.,Read2,*somnite 5mg tablets,PH1113_v2453
Anxiety,d2az.,Read2,lorazepam 4mg/1ml injection,PH1113_v2453
Anxiety,d152.,Read2,dalmane 30mg capsules,PH1113_v2453
Anxiety,d2a2.,Read2,lorazepam 2.5mg tablets,PH1113_v2453
Anxiety,d26..,Read2,clobazam,PH1113_v2453
Anxiety,d21G.,Read2,*valclair 10mg suppositories,PH1113_v2453
Anxiety,d18c.,Read2,somnite 2.5mg/5ml mixture,PH1113_v2453
Anxiety,d184.,Read2,nitrazepam 2.5mg/5ml mixture,PH1113_v2453
Anxiety,d1g..,Read2,zaleplon,PH1113_v2453
Anxiety,d241.,Read2,chlordiazepoxide 5mg capsules,PH1113_v2453
Anxiety,d1al.,Read2,*euhypnos 10mg/sachet solution | euhypnos 10mg/sachet oral solution,PH1113_v2453
Anxiety,d21F.,Read2,dialar 5mg/5ml syrup,PH1113_v2453
Anxiety,d21..,Read2,diazepam [anxiolytic],PH1113_v2453
Anxiety,d188.,Read2,*noctesed 5mg tablets,PH1113_v2453
Anxiety,d1a6.,Read2,*normison 10mg capsules,PH1113_v2453
Anxiety,d18..,Read2,nitrazepam,PH1113_v2453
Anxiety,d23y.,Read2,*bromazepam 1.5mg tablets,PH1113_v2453
Anxiety,d21g.,Read2,*solis 2mg capsules,PH1113_v2453
Anxiety,d25z.,Read2,*chlormezanone 200mg tablets,PH1113_v2453
Anxiety,d2c5.,Read2,meprate 400mg tablets,PH1113_v2453
Anxiety,d1f2.,Read2,zolpidem tartrate 5mg tablets,PH1113_v2453
Anxiety,d13z.,Read2,*dichloralphenazone 225mg/5ml | dichloralphenazone 225mg/5ml elixir,PH1113_v2453
Anxiety,d2e1.,Read2,*centrax 10mg tablets,PH1113_v2453
Anxiety,d1g1.,Read2,sonata 5mg capsules,PH1113_v2453
Anxiety,d24j.,Read2,*tropium 25mg tablets,PH1113_v2453
Anxiety,d21z.,Read2,*diazepam 10mg suppositories,PH1113_v2453
Anxiety,d114.,Read2,*chloral hydrate 500mg caps | chloral hydrate 500mg capsules,PH1113_v2453
Anxiety,d1a8.,Read2,*temazepam planpak capsules,PH1113_v2453
Anxiety,d1ak.,Read2,*temazepam 20mg/sach oral soln | temazepam 20mg/sachet oral solution,PH1113_v2453
Anxiety,d1a9.,Read2,temazepam 10mg tablets,PH1113_v2453
Anxiety,d151.,Read2,dalmane 15mg capsules,PH1113_v2453
Anxiety,d1a1.,Read2,*temazepam 10mg capsules,PH1113_v2453
Anxiety,d2g1.,Read2,flumazenil 500mcg/5ml inj | flumazenil 500microgram/5ml injection,PH1113_v2453
Anxiety,d22y.,Read2,alprazolam 250mcg tablets | alprazolam 250microgram tablets,PH1113_v2453
Anxiety,d1ac.,Read2,*temazepam gelthix 20mg caps | temazepam gelthix 20mg capsules,PH1113_v2453
Anxiety,d216.,Read2,diazepam 2mg/5ml elixir,PH1113_v2453
Anxiety,d2f5.,Read2,buspirone 10mg tablets,PH1113_v2453
Anxiety,d154.,Read2,*paxane 30mg capsules,PH1113_v2453
Anxiety,d2d2.,Read2,oxazepam 10mg tablets,PH1113_v2453
Anxiety,d1d5.,Read2,*zileze 7.5 tablets,PH1113_v2453
Anxiety,d263.,Read2,clobazam 10mg tablets,PH1113_v2453
Anxiety,d162.,Read2,*dormonoct 1mg tablets,PH1113_v2453
Anxiety,d244.,Read2,chlordiazepoxide hcl 10mg tabs | chlordiazepoxide hydrochloride 10mg tablets,PH1113_v2453
