pheno_name,code_clean,vocab,description,info
Cancer,C10,ICD10,C10 Malignant neoplasm of oropharynx,PH960_v2138
Cancer,C38,ICD10,"C38 Malignant neoplasm of heart, mediastinum and pleura",PH960_v2138
Cancer,C62,ICD10,C62 Malignant neoplasm of testis,PH960_v2138
Cancer,C32,ICD10,C32 Malignant neoplasm of larynx,PH960_v2138
Cancer,C56,ICD10,C56 Malignant neoplasm of ovary,PH960_v2138
Cancer,C25,ICD10,C25 Malignant neoplasm of pancreas,PH960_v2138
Cancer,C01,ICD10,C01 Malignant neoplasm of base of tongue,PH960_v2138
Cancer,C52,ICD10,C52 Malignant neoplasm of vagina,PH960_v2138
Cancer,C47,ICD10,C47 Malignant neoplasm of peripheral nerves and autonomic nervous system,PH960_v2138
Cancer,C39,ICD10,C39 Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,PH960_v2138
Cancer,C23,ICD10,C23 Malignant neoplasm of gallbladder,PH960_v2138
Cancer,C66,ICD10,C66 Malignant neoplasm of ureter,PH960_v2138
Cancer,C51,ICD10,C51 Malignant neoplasm of vulva,PH960_v2138
Cancer,C03,ICD10,C03 Malignant neoplasm of gum,PH960_v2138
Cancer,C31,ICD10,C31 Malignant neoplasm of accessory sinuses,PH960_v2138
Cancer,C22,ICD10,C22 Malignant neoplasm of liver and intrahepatic bile ducts,PH960_v2138
Cancer,C55,ICD10,"C55 Malignant neoplasm of uterus, part unspecified",PH960_v2138
Cancer,C05,ICD10,C05 Malignant neoplasm of palate,PH960_v2138
Cancer,C21,ICD10,C21 Malignant neoplasm of anus and anal canal,PH960_v2138
Cancer,C07,ICD10,C07 Malignant neoplasm of parotid gland,PH960_v2138
Cancer,C48,ICD10,C48 Malignant neoplasm of retroperitoneum and peritoneum,PH960_v2138
Cancer,C20,ICD10,C20 Malignant neoplasm of rectum,PH960_v2138
Cancer,C61,ICD10,C61 Malignant neoplasm of prostate,PH960_v2138
Cancer,C13,ICD10,C13 Malignant neoplasm of hypopharynx,PH960_v2138
Cancer,C40,ICD10,C40 Malignant neoplasm of bone and articular cartilage of limbs,PH960_v2138
Cancer,C18,ICD10,C18 Malignant neoplasm of colon,PH960_v2138
Cancer,C33,ICD10,C33 Malignant neoplasm of trachea,PH960_v2138
Cancer,C09,ICD10,C09 Malignant neoplasm of tonsil,PH960_v2138
Cancer,C65,ICD10,C65 Malignant neoplasm of renal pelvis,PH960_v2138
Cancer,C46,ICD10,C46 Kaposi's sarcoma,PH960_v2138
Cancer,C26,ICD10,C26 Malignant neoplasm of other and ill-defined digestive organs,PH960_v2138
Cancer,C54,ICD10,C54 Malignant neoplasm of corpus uteri,PH960_v2138
Cancer,C24,ICD10,C24 Malignant neoplasm of other and unspecified parts of biliary tract,PH960_v2138
Cancer,C58,ICD10,C58 Malignant neoplasm of placenta,PH960_v2138
Cancer,C19,ICD10,C19 Malignant neoplasm of rectosigmoid junction,PH960_v2138
Cancer,C02,ICD10,C02 Malignant neoplasm of other and unspecified parts of tongue,PH960_v2138
Cancer,C50,ICD10,C50 Malignant neoplasm of breast,PH960_v2138
