pheno_name,code_clean,vocab,description,info
Cardiomyopathy,O903,ICD10,Cardiomyopathy in the puerperium,PH961_v2139
Cardiomyopathy,I43,ICD10,Cardiomyopathy in diseases classified elsewhere,PH961_v2139
Cardiomyopathy,I425,ICD10,Other restrictive cardiomyopathy,PH961_v2139
Cardiomyopathy,I255,ICD10,Ischaemic cardiomyopathy,PH961_v2139
Cardiomyopathy,I420,ICD10,Dilated cardiomyopathy,PH961_v2139
Cardiomyopathy,I427,ICD10,Cardiomyopathy due to drugs and other external agents,PH961_v2139
Cardiomyopathy,I429,ICD10,"Cardiomyopathy, unspecified",PH961_v2139
Cardiomyopathy,I423,ICD10,Endomyocardial (eosinophilic) disease,PH961_v2139
Cardiomyopathy,I428,ICD10,Other cardiomyopathies,PH961_v2139
Cardiomyopathy,G5542,Read2,Familial cardiomyopathy                                                                                                                                                                                                                                        ,PH961_v2139
Cardiomyopathy,G55A.,Read2,Tachycardiomyopathy                                                                                                                                                                                                                                            ,PH961_v2139
Cardiomyopathy,G558.,Read2,Cardiomyopathy in disease EC                                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,G5541,Read2,Constrictive cardiomyopathy                                                                                                                                                                                                                                    ,PH961_v2139
Cardiomyopathy,G55..,Read2,Cardiomyopathy                                                                                                                                                                                                                                                 ,PH961_v2139
Cardiomyopathy,G55y.,Read2,Secondary cardiomyopathy NOS                                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,G5582,Read2,Dystrophic cardiomyopathy                                                                                                                                                                                                                                      ,PH961_v2139
Cardiomyopathy,G5584,Read2,Amyloid cardiomyopathy                                                                                                                                                                                                                                         ,PH961_v2139
Cardiomyopathy,G5570,Read2,Amyloid heart disease                                                                                                                                                                                                                                          ,PH961_v2139
Cardiomyopathy,G557.,Read2,Nutritional and metabolic cardiomyopathies                                                                                                                                                                                                                     ,PH961_v2139
Cardiomyopathy,G559.,Read2,Arrhythmogenic right ventricular cardiomyopathy                                                                                                                                                                                                                ,PH961_v2139
Cardiomyopathy,G55z.,Read2,Cardiomyopathy NOS                                                                                                                                                                                                                                             ,PH961_v2139
Cardiomyopathy,Gyu5R,Read2,[X]Cardiomyopathy in metabolic diseases CE                                                                                                                                                                                                                     ,PH961_v2139
Cardiomyopathy,F391B,Read2,Cardiomyopathy in Duchenne muscular dystrophy                                                                                                                                                                                                                  ,PH961_v2139
Cardiomyopathy,G5581,Read2,Cardiomyopathy in myotonic dystrophy                                                                                                                                                                                                                           ,PH961_v2139
Cardiomyopathy,G554.,Read2,Other primary cardiomyopathies                                                                                                                                                                                                                                 ,PH961_v2139
Cardiomyopathy,G5575,Read2,Thyrotoxic heart disease                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,G558z,Read2,"Cardiomyopathy in diseases EC, NOS                                                                                                                                                                                                                             ",PH961_v2139
Cardiomyopathy,G552.,Read2,Obscure African cardiomyopathy                                                                                                                                                                                                                                 ,PH961_v2139
Cardiomyopathy,G550.,Read2,Endomyocardial fibrosis                                                                                                                                                                                                                                        ,PH961_v2139
Cardiomyopathy,G343.,Read2,Ischaemic cardiomyopathy                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,Gyu5P,Read2,[X]Other cardiomyopathies                                                                                                                                                                                                                                      ,PH961_v2139
Cardiomyopathy,G5545,Read2,Takotsubo cardiomyopathy                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,C373G,Read2,Senile cardiac amyloidosis                                                                                                                                                                                                                                     ,PH961_v2139
Cardiomyopathy,G55y0,Read2,Cardiomyopathy due to drugs and other external agents                                                                                                                                                                                                          ,PH961_v2139
Cardiomyopathy,G5571,Read2,Beriberi heart disease                                                                                                                                                                                                                                         ,PH961_v2139
Cardiomyopathy,G554z,Read2,Other primary cardiomyopathy NOS                                                                                                                                                                                                                               ,PH961_v2139
Cardiomyopathy,C3733,Read2,Familial cardiac amyloid                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,Gyu5N,Read2,[X]Other restrictive cardiomyopathy                                                                                                                                                                                                                            ,PH961_v2139
Cardiomyopathy,G557z,Read2,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,G5580,Read2,Cardiomyopathy in Friedreich's ataxia                                                                                                                                                                                                                          ,PH961_v2139
Cardiomyopathy,XaXNg,Read3,Tachycardiomyopathy                                                                                                                                                                                                                                            ,PH961_v2139
Cardiomyopathy,XaXNg,Read3,Tachycardiomyopathy                                                                                                                                                                                                                                            ,PH961_v2139
Cardiomyopathy,XE0V1,Read3,Secondary cardiomyopathy NOS                                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,X201Z,Read3,Secondary cardiomyopathy NOS                                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,XaZcx,Read3,Amyloid cardiomyopathy                                                                                                                                                                                                                                         ,PH961_v2139
Cardiomyopathy,Xa1fq,Read3,Arrhythmogenic right ventricular cardiomyopathy                                                                                                                                                                                                                ,PH961_v2139
Cardiomyopathy,XaI9b,Read3,Cardiomyopathy in Duchenne muscular dystrophy                                                                                                                                                                                                                  ,PH961_v2139
Cardiomyopathy,XE0Uy,Read3,Obscure African cardiomyopathy                                                                                                                                                                                                                                 ,PH961_v2139
Cardiomyopathy,XE0Uy,Read3,Obscure African cardiomyopathy                                                                                                                                                                                                                                 ,PH961_v2139
Cardiomyopathy,XaWye,Read3,Takotsubo cardiomyopathy                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,XaWye,Read3,Takotsubo cardiomyopathy                                                                                                                                                                                                                                       ,PH961_v2139
Cardiomyopathy,XaZSw,Read3,Senile cardiac amyloidosis                                                                                                                                                                                                                                     ,PH961_v2139
Cardiomyopathy,XE0V0,Read3,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,X201X,Read3,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,X201X,Read3,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,PH961_v2139
Cardiomyopathy,X201X,Read3,Nutritional and metabolic cardiomyopathy NOS                                                                                                                                                                                                                   ,PH961_v2139
