pheno_name,code_clean,vocab,description,info
CKD345,T824,ICD10,mechanical complication of vascular dialysis catheter,CCU003_01
CKD345,T861,ICD10,kidney transplant failure and rejection,CCU003_01
CKD345,Y602,ICD10,during kidney dialysis or other perfusion,CCU003_01
CKD345,Y612,ICD10,during kidney dialysis or other perfusion,CCU003_01
CKD345,Y622,ICD10,during kidney dialysis or other perfusion,CCU003_01
CKD345,Y841,ICD10,kidney dialysis,CCU003_01
CKD345,Z49,ICD10,Z49 ICD-10 care involving dialysis,CCU003_01
CKD345,Z490,ICD10,preparatory care for dialysis,CCU003_01
CKD345,Z491,ICD10,extracorporeal dialysis,CCU003_01
CKD345,Z492,ICD10,other dialysis,CCU003_01
CKD345,Z940,ICD10,kidney transplant status,CCU003_01
CKD345,Z992,ICD10,dependence on renal dialysis/{on dialysis treatment},CCU003_01
CKD345,N186,ICD10,patients with CKD requiring dialysis,CCU003_01
CKD345,N165,ICD10,renal tubulo-interstitial disorders in transplant rejection,CCU003_01
CKD345,N185,ICD10,chronic kidney disease 5,CCU003_01
CKD345,N184,ICD10,Stage 4 chronic kidney disease,CCU003_01
CKD345,N183,ICD10,chronic kidney disease Stage 3,CCU003_01
CKD345,14S2.00,Read2,Read h/o: kidney recipient,CCU003_01
CKD345,14V2.00,Read2,Read h/o: renal dialysis,CCU003_01
CKD345,14V2.11,Read2,Read h/o: kidney dialysis,CCU003_01
CKD345,1Z14.00,Read2,Read chronic kidney disease Stage 5,CCU003_01
CKD345,1Z1K.00,Read2,Read chronic kidney disease Stage 5 with proteinuria,CCU003_01
CKD345,1Z1K.11,Read2,Read ckd Stage 5 with proteinuria,CCU003_01
CKD345,1Z1L.00,Read2,Read chronic kidney disease Stage 5 without proteinuria,CCU003_01
CKD345,1Z1L.11,Read2,Read ckd Stage 5 without proteinuria,CCU003_01
CKD345,4I29.00,Read2,Read peritoneal dialysis sample,CCU003_01
CKD345,4N0..00,Read2,Read dialysis fluid urea level,CCU003_01
CKD345,4N2..00 ,Read2,Read dialysis fluid glucose level,CCU003_01
CKD345,67P4100,Read2,Read discussion about kidney transplantation,CCU003_01
CKD345,7B00.00 ,Read2,Read transplantation of kidney,CCU003_01
CKD345,7B00100,Read2,Read transplantation of kidney from live donor,CCU003_01
CKD345,7B00111 ,Read2,Read allotransplantation of kidney from live donor,CCU003_01
CKD345,7B00200,Read2,Read transplantation of kidney from cadaver,CCU003_01
CKD345,7B00211,Read2,Read allotransplantation of kidney from cadaver,CCU003_01
CKD345,7B00212,Read2,Read cadaveric renal transplant,CCU003_01
CKD345,7B00300,Read2,Read allotransplantation of kidney from cadaver heart-beating,CCU003_01
CKD345,7B00400 ,Read2,Read allotransplantation kidney from cadaver heart non-beating,CCU003_01
CKD345,7B00600,Read2,Read xenograft renal transplant,CCU003_01
