pheno_name,code_clean,vocab,description,info
COPD,J42,ICD10,Unspecified chronic bronchitis,PH951_v2129
COPD,J41,ICD10,Simple and mucopurulent chronic bronchitis,PH951_v2129
COPD,J40,ICD10,Bronchitis not specified as acute or chronic,PH951_v2129
COPD,J44,ICD10,Other chronic obstructive pulmonary disease,PH951_v2129
COPD,J43,ICD10,Emphysema,PH951_v2129
COPD,H5832,Read2,Eosinophilic bronchitis                                                                                                                                                                                                                                        ,PH951_v2129
COPD,H312z,Read2,Obstructive chronic bronchitis NOS                                                                                                                                                                                                                             ,PH951_v2129
COPD,H3121,Read2,Emphysematous bronchitis                                                                                                                                                                                                                                       ,PH951_v2129
COPD,H320z,Read2,Chronic bullous emphysema NOS                                                                                                                                                                                                                                  ,PH951_v2129
COPD,14B3.,Read2,History of chronic obstructive pulmonary disease                                                                                                                                                                                                               ,PH951_v2129
COPD,H3y..,Read2,Other specified chronic obstructive airways disease                                                                                                                                                                                                            ,PH951_v2129
COPD,H321.,Read2,Panlobular emphysema                                                                                                                                                                                                                                           ,PH951_v2129
COPD,H3202,Read2,Giant bullous emphysema                                                                                                                                                                                                                                        ,PH951_v2129
COPD,H312.,Read2,Obstructive chronic bronchitis                                                                                                                                                                                                                                 ,PH951_v2129
COPD,H37..,Read2,Moderate chronic obstructive pulmonary disease                                                                                                                                                                                                                 ,PH951_v2129
COPD,H3203,Read2,Bullous emphysema with collapse                                                                                                                                                                                                                                ,PH951_v2129
COPD,H320.,Read2,Chronic bullous emphysema                                                                                                                                                                                                                                      ,PH951_v2129
COPD,H32..,Read2,Emphysema                                                                                                                                                                                                                                                      ,PH951_v2129
COPD,H3A..,Read2,End stage chronic obstructive airways disease                                                                                                                                                                                                                  ,PH951_v2129
COPD,H31y1,Read2,Chronic tracheobronchitis                                                                                                                                                                                                                                      ,PH951_v2129
COPD,H31..,Read2,Chronic bronchitis                                                                                                                                                                                                                                             ,PH951_v2129
COPD,H32y.,Read2,Other emphysema                                                                                                                                                                                                                                                ,PH951_v2129
COPD,H3123,Read2,Bronchiolitis obliterans                                                                                                                                                                                                                                       ,PH951_v2129
COPD,H3110,Read2,Purulent chronic bronchitis                                                                                                                                                                                                                                    ,PH951_v2129
COPD,Hyu31,Read2,[X]Other specified chronic obstructive pulmonary disease                                                                                                                                                                                                       ,PH951_v2129
COPD,H32y0,Read2,Acute vesicular emphysema                                                                                                                                                                                                                                      ,PH951_v2129
COPD,H3100,Read2,Chronic catarrhal bronchitis                                                                                                                                                                                                                                   ,PH951_v2129
COPD,H31y.,Read2,Other chronic bronchitis                                                                                                                                                                                                                                       ,PH951_v2129
COPD,H32z.,Read2,Emphysema NOS                                                                                                                                                                                                                                                  ,PH951_v2129
COPD,H38..,Read2,Severe chronic obstructive pulmonary disease                                                                                                                                                                                                                   ,PH951_v2129
COPD,Hyu30,Read2,[X]Other emphysema                                                                                                                                                                                                                                             ,PH951_v2129
COPD,H31yz,Read2,Other chronic bronchitis NOS                                                                                                                                                                                                                                   ,PH951_v2129
COPD,H3122,Read2,Acute exacerbation of chronic obstructive airways disease                                                                                                                                                                                                      ,PH951_v2129
COPD,H311z,Read2,Mucopurulent chronic bronchitis NOS                                                                                                                                                                                                                            ,PH951_v2129
COPD,H322.,Read2,Centrilobular emphysema                                                                                                                                                                                                                                        ,PH951_v2129
COPD,H3111,Read2,Fetid chronic bronchitis                                                                                                                                                                                                                                       ,PH951_v2129
