pheno_name,code_clean,vocab,description,info
Dementia,F00,ICD10,Dementia in Alzheimer's disease,PH963_2141
Dementia,F03,ICD10,Unspecified dementia,PH963_2141
Dementia,G30,ICD10,Alzheimer's disease,PH963_2141
Dementia,F051,ICD10,Delirium superimposed on dementia,PH963_2141
Dementia,F01,ICD10,Vascular dementia,PH963_2141
Dementia,E0010,Read2,Uncomplicated presenile dementia                                                                                                                                                                                                                               ,PH963_2141
Dementia,Eu00.,Read2,[X]Dementia in Alzheimer's disease                                                                                                                                                                                                                             ,PH963_2141
Dementia,Eu013,Read2,[X]Mixed cortical and subcortical vascular dementia                                                                                                                                                                                                            ,PH963_2141
Dementia,9Ou5.,Read2,Dementia monitoring telephone invite                                                                                                                                                                                                                           ,PH963_2141
Dementia,Eu00z,Read2,"[X]Dementia in Alzheimer's disease, unspecified                                                                                                                                                                                                                ",PH963_2141
Dementia,ZS7C5,Read2,Language disorder of dementia                                                                                                                                                                                                                                  ,PH963_2141
Dementia,Eu001,Read2,[X]Dementia in Alzheimer's disease with late onset                                                                                                                                                                                                             ,PH963_2141
Dementia,E001z,Read2,Presenile dementia NOS                                                                                                                                                                                                                                         ,PH963_2141
Dementia,Eu010,Read2,[X]Vascular dementia of acute onset                                                                                                                                                                                                                            ,PH963_2141
Dementia,E004.,Read2,Arteriosclerotic dementia                                                                                                                                                                                                                                      ,PH963_2141
Dementia,9Ou1.,Read2,Dementia monitoring first letter                                                                                                                                                                                                                               ,PH963_2141
Dementia,Eu012,Read2,[X]Subcortical vascular dementia                                                                                                                                                                                                                               ,PH963_2141
Dementia,9hD1.,Read2,Excepted from dementia quality indicators: Informed dissent                                                                                                                                                                                                    ,PH963_2141
Dementia,9Ou4.,Read2,Dementia monitoring verbal invite                                                                                                                                                                                                                              ,PH963_2141
Dementia,E00z.,Read2,Senile or presenile psychoses NOS                                                                                                                                                                                                                              ,PH963_2141
Dementia,E0021,Read2,Senile dementia with depression                                                                                                                                                                                                                                ,PH963_2141
Dementia,E0013,Read2,Presenile dementia with depression                                                                                                                                                                                                                             ,PH963_2141
Dementia,E0043,Read2,Arteriosclerotic dementia with depression                                                                                                                                                                                                                      ,PH963_2141
Dementia,66h..,Read2,Dementia monitoring                                                                                                                                                                                                                                            ,PH963_2141
Dementia,8CMZ.,Read2,Dementia care plan                                                                                                                                                                                                                                             ,PH963_2141
Dementia,Eu01y,Read2,[X]Other vascular dementia                                                                                                                                                                                                                                     ,PH963_2141
Dementia,Fyu30,Read2,[X]Other Alzheimer's disease                                                                                                                                                                                                                                   ,PH963_2141
Dementia,Eu01.,Read2,[X]Vascular dementia                                                                                                                                                                                                                                           ,PH963_2141
Dementia,9hD..,Read2,Exception reporting: dementia quality indicators                                                                                                                                                                                                               ,PH963_2141
Dementia,F110.,Read2,Alzheimer's disease                                                                                                                                                                                                                                            ,PH963_2141
Dementia,9Ou2.,Read2,Dementia monitoring second letter                                                                                                                                                                                                                              ,PH963_2141
Dementia,9Ou..,Read2,Dementia monitoring administration                                                                                                                                                                                                                             ,PH963_2141
Dementia,E00y.,Read2,Other senile and presenile organic psychoses                                                                                                                                                                                                                   ,PH963_2141
Dementia,E0040,Read2,Uncomplicated arteriosclerotic dementia                                                                                                                                                                                                                        ,PH963_2141
Dementia,E0041,Read2,Arteriosclerotic dementia with delirium                                                                                                                                                                                                                        ,PH963_2141
Dementia,E002.,Read2,Senile dementia with depressive or paranoid features                                                                                                                                                                                                           ,PH963_2141
Dementia,Eu002,Read2,"[X]Dementia in Alzheimer's dis, atypical or mixed type                                                                                                                                                                                                         ",PH963_2141
Dementia,1461,Read2,H/O: dementia                                                                                                                                                                                                                                                  ,PH963_2141
Dementia,E001.,Read2,Presenile dementia                                                                                                                                                                                                                                             ,PH963_2141
Dementia,9hD0.,Read2,Excepted from dementia quality indicators: Patient unsuitabl                                                                                                                                                                                                   ,PH963_2141
Dementia,Eu000,Read2,[X]Dementia in Alzheimer's disease with early onset                                                                                                                                                                                                            ,PH963_2141
Dementia,E0012,Read2,Presenile dementia with paranoia                                                                                                                                                                                                                               ,PH963_2141
Dementia,E002z,Read2,Senile dementia with depressive or paranoid features NOS                                                                                                                                                                                                       ,PH963_2141
Dementia,Eu041,Read2,[X]Delirium superimposed on dementia                                                                                                                                                                                                                           ,PH963_2141
Dementia,E0042,Read2,Arteriosclerotic dementia with paranoia                                                                                                                                                                                                                        ,PH963_2141
Dementia,Eu01z,Read2,"[X]Vascular dementia, unspecified                                                                                                                                                                                                                              ",PH963_2141
Dementia,E0020,Read2,Senile dementia with paranoia                                                                                                                                                                                                                                  ,PH963_2141
