pheno_name,code_clean,vocab,description,info
Depression,F32,ICD10,Depressive episode,PH964_2142
Depression,F33,ICD10,Recurrent depressive disorder,PH964_2142
Depression,Eu33y,Read2,[X]Other recurrent depressive disorders                                                                                                                                                                                                                        ,PH964_2142
Depression,9H91.,Read2,Depression medication review                                                                                                                                                                                                                                   ,PH964_2142
Depression,Eu251,Read2,"[X]Schizoaffective disorder, depressive type                                                                                                                                                                                                                   ",PH964_2142
Depression,9k40.,Read2,Depression - enhanced service completed                                                                                                                                                                                                                        ,PH964_2142
Depression,9Ov0.,Read2,Depression monitoring first letter                                                                                                                                                                                                                             ,PH964_2142
Depression,9HA0.,Read2,On depression register                                                                                                                                                                                                                                         ,PH964_2142
Depression,Eu333,Read2,[X]Recurrent depress disorder cur epi severe with psyc symp                                                                                                                                                                                                    ,PH964_2142
Depression,Eu325,Read2,"[X]Major depression, mild                                                                                                                                                                                                                                      ",PH964_2142
Depression,Eu329,Read2,"[X]Single major depr ep, severe with psych, psych in remiss                                                                                                                                                                                                    ",PH964_2142
Depression,E2B1.,Read2,Chronic depression                                                                                                                                                                                                                                             ,PH964_2142
Depression,E2003,Read2,Anxiety with depression                                                                                                                                                                                                                                        ,PH964_2142
Depression,E0013,Read2,Presenile dementia with depression                                                                                                                                                                                                                             ,PH964_2142
Depression,E1121,Read2,"Single major depressive episode, mild                                                                                                                                                                                                                          ",PH964_2142
Depression,Eu328,Read2,"[X]Major depression, severe with psychotic symptoms                                                                                                                                                                                                            ",PH964_2142
Depression,Eu32y,Read2,[X]Other depressive episodes                                                                                                                                                                                                                                   ,PH964_2142
Depression,Eu32z,Read2,"[X]Depressive episode, unspecified                                                                                                                                                                                                                             ",PH964_2142
Depression,E11y2,Read2,Atypical depressive disorder                                                                                                                                                                                                                                   ,PH964_2142
Depression,9Ov2.,Read2,Depression monitoring third letter                                                                                                                                                                                                                             ,PH964_2142
Depression,E0043,Read2,Arteriosclerotic dementia with depression                                                                                                                                                                                                                      ,PH964_2142
Depression,9Ov4.,Read2,Depression monitoring telephone invite                                                                                                                                                                                                                         ,PH964_2142
Depression,E1134,Read2,"Recurrent major depressive episodes, severe, with psychosis                                                                                                                                                                                                    ",PH964_2142
Depression,Eu331,Read2,"[X]Recurrent depressive disorder, current episode moderate                                                                                                                                                                                                     ",PH964_2142
Depression,E1135,Read2,"Recurrent major depressive episodes,partial/unspec remission                                                                                                                                                                                                   ",PH964_2142
Depression,9Ov1.,Read2,Depression monitoring second letter                                                                                                                                                                                                                            ,PH964_2142
Depression,E130.,Read2,Reactive depressive psychosis                                                                                                                                                                                                                                  ,PH964_2142
Depression,1465,Read2,H/O: depression                                                                                                                                                                                                                                                ,PH964_2142
Depression,E11z2,Read2,Masked depression                                                                                                                                                                                                                                              ,PH964_2142
Depression,E112z,Read2,Single major depressive episode NOS                                                                                                                                                                                                                            ,PH964_2142
Depression,E291.,Read2,Prolonged depressive reaction                                                                                                                                                                                                                                  ,PH964_2142
Depression,Eu33z,Read2,"[X]Recurrent depressive disorder, unspecified                                                                                                                                                                                                                  ",PH964_2142
Depression,8HHq.,Read2,Referral for guided self-help for depression                                                                                                                                                                                                                   ,PH964_2142
Depression,Eu341,Read2,[X]Dysthymia                                                                                                                                                                                                                                                   ,PH964_2142
Depression,Eu326,Read2,"[X]Major depression, moderately severe                                                                                                                                                                                                                         ",PH964_2142
Depression,Eu32A,Read2,"[X]Recurr major depr ep, severe with psych, psych in remiss                                                                                                                                                                                                    ",PH964_2142
Depression,E1122,Read2,"Single major depressive episode, moderate                                                                                                                                                                                                                      ",PH964_2142
Depression,Eu204,Read2,[X]Post-schizophrenic depression                                                                                                                                                                                                                               ,PH964_2142
Depression,E2B..,Read2,Depressive disorder NEC                                                                                                                                                                                                                                        ,PH964_2142
Depression,9H92.,Read2,Depression interim review                                                                                                                                                                                                                                      ,PH964_2142
Depression,Eu324,Read2,[X]Mild depression                                                                                                                                                                                                                                             ,PH964_2142
Depression,Eu322,Read2,[X]Severe depressive episode without psychotic symptoms                                                                                                                                                                                                        ,PH964_2142
Depression,Eu321,Read2,[X]Moderate depressive episode                                                                                                                                                                                                                                 ,PH964_2142
Depression,9kQ..,Read2,On full dose long term treatment depression - enh serv admin                                                                                                                                                                                                   ,PH964_2142
Depression,E1124,Read2,"Single major depressive episode, severe, with psychosis                                                                                                                                                                                                        ",PH964_2142
Depression,9Ov..,Read2,Depression monitoring administration                                                                                                                                                                                                                           ,PH964_2142
Depression,E113z,Read2,Recurrent major depressive episode NOS                                                                                                                                                                                                                         ,PH964_2142
Depression,E1126,Read2,"Single major depressive episode, in full remission                                                                                                                                                                                                             ",PH964_2142
Depression,Eu412,Read2,[X]Mixed anxiety and depressive disorder                                                                                                                                                                                                                       ,PH964_2142
