pheno_name,code_clean,vocab,description,info
Diabetes,C10F411,Read2,Type II diabetes mellitus with ulcer,PH152_v304
Diabetes,C108912,Read2,Type 1 diabetes mellitus maturity onset,PH152_v304
Diabetes,C10FQ00,Read2,Type 2 diabetes mellitus with exudative maculopathy,PH152_v304
Diabetes,C108.12,Read2,Type 1 diabetes mellitus,PH152_v304
Diabetes,C10F611,Read2,Type II diabetes mellitus with retinopathy,PH152_v304
Diabetes,C108511,Read2,Type I diabetes mellitus with ulcer,PH152_v304
Diabetes,C10EP11,Read2,Type I diabetes mellitus with exudative maculopathy,PH152_v304
Diabetes,C10F711,Read2,Type II diabetes mellitus - poor control,PH152_v304
Diabetes,C109511,Read2,Type II diabetes mellitus with gangrene,PH152_v304
Diabetes,C10F400,Read2,Type 2 diabetes mellitus with ulcer,PH152_v304
Diabetes,C10E300,Read2,Type 1 diabetes mellitus with multiple complications,PH152_v304
Diabetes,C109412,Read2,Type 2 diabetes mellitus with ulcer,PH152_v304
Diabetes,C109F11,Read2,Type II diabetes mellitus with peripheral angiopathy,PH152_v304
Diabetes,C108012,Read2,Type 1 diabetes mellitus with renal complications,PH152_v304
Diabetes,C109211,Read2,Type II diabetes mellitus with neurological complications,PH152_v304
Diabetes,C109B11,Read2,Type II diabetes mellitus with polyneuropathy,PH152_v304
Diabetes,C108911,Read2,Type I diabetes mellitus maturity onset,PH152_v304
Diabetes,C10F300,Read2,Type 2 diabetes mellitus with multiple complications,PH152_v304
Diabetes,C10E900,Read2,Type 1 diabetes mellitus maturity onset,PH152_v304
Diabetes,C10EA11,Read2,Type I diabetes mellitus without complication,PH152_v304
Diabetes,C108411,Read2,Unstable type I diabetes mellitus,PH152_v304
Diabetes,C10FA11,Read2,Type II diabetes mellitus with mononeuropathy,PH152_v304
Diabetes,C10FF00,Read2,Type 2 diabetes mellitus with peripheral angiopathy,PH152_v304
Diabetes,C10EC00,Read2,Type 1 diabetes mellitus with polyneuropathy,PH152_v304
Diabetes,C10E411,Read2,Unstable type I diabetes mellitus,PH152_v304
Diabetes,C109012,Read2,Type 2 diabetes mellitus with renal complications,PH152_v304
Diabetes,C108J11,Read2,Type I diabetes mellitus with neuropathic arthropathy,PH152_v304
Diabetes,C109612,Read2,Type 2 diabetes mellitus with retinopathy,PH152_v304
Diabetes,C10FC00,Read2,Type 2 diabetes mellitus with nephropathy,PH152_v304
Diabetes,C108H11,Read2,Type I diabetes mellitus with arthropathy,PH152_v304
Diabetes,C108F11,Read2,Type I diabetes mellitus with diabetic cataract,PH152_v304
Diabetes,C108A11,Read2,Type I diabetes mellitus without complication,PH152_v304
Diabetes,C10FG00,Read2,Type 2 diabetes mellitus with arthropathy,PH152_v304
Diabetes,C109H11,Read2,Type II diabetes mellitus with neuropathic arthropathy,PH152_v304
