pheno_name,code_clean,vocab,description,info
HF,I50,ICD10,Heart failure,PH968_v2146
HF,I110,ICD10,Hypertensive heart disease with (congestive) heart failure,PH968_v2146
HF,I130,ICD10,Hypertensive heart and renal disease with (congestive) heart failure,PH968_v2146
HF,I132,ICD10,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,PH968_v2146
HF,9On0.,Read2,Left ventricular dysfunction monitoring first letter                                                                                                                                                                                                           ,PH968_v2146
HF,9Or3.,Read2,Heart failure monitoring first letter                                                                                                                                                                                                                          ,PH968_v2146
HF,9N6T.,Read2,Referred by heart failure nurse specialist                                                                                                                                                                                                                     ,PH968_v2146
HF,662g.,Read2,New York Heart Association classification - class II                                                                                                                                                                                                           ,PH968_v2146
HF,14AM.,Read2,H/O: Heart failure in last year                                                                                                                                                                                                                                ,PH968_v2146
HF,G5yy9,Read2,Left ventricular systolic dysfunction                                                                                                                                                                                                                          ,PH968_v2146
HF,G582.,Read2,Acute heart failure                                                                                                                                                                                                                                            ,PH968_v2146
HF,9Or4.,Read2,Heart failure monitoring second letter                                                                                                                                                                                                                         ,PH968_v2146
HF,679W1,Read2,Education about deteriorating heart failure                                                                                                                                                                                                                    ,PH968_v2146
HF,9h1..,Read2,Exception reporting: LVD quality indicators                                                                                                                                                                                                                    ,PH968_v2146
HF,9N2p.,Read2,Seen by community heart failure nurse                                                                                                                                                                                                                          ,PH968_v2146
HF,662T.,Read2,Congestive heart failure monitoring                                                                                                                                                                                                                            ,PH968_v2146
HF,9Or2.,Read2,Heart failure monitoring verbal invite                                                                                                                                                                                                                         ,PH968_v2146
HF,662p.,Read2,Heart failure 6 month review                                                                                                                                                                                                                                   ,PH968_v2146
HF,G5800,Read2,Acute congestive heart failure                                                                                                                                                                                                                                 ,PH968_v2146
HF,G5801,Read2,Chronic congestive heart failure                                                                                                                                                                                                                               ,PH968_v2146
HF,G584.,Read2,Right ventricular failure                                                                                                                                                                                                                                      ,PH968_v2146
HF,G234.,Read2,Hyperten heart&renal dis+both(congestv)heart and renal fail                                                                                                                                                                                                    ,PH968_v2146
HF,661M5,Read2,Heart failure self-management plan agreed                                                                                                                                                                                                                      ,PH968_v2146
HF,9On3.,Read2,Left ventricular dysfunction monitoring verbal invite                                                                                                                                                                                                          ,PH968_v2146
HF,9hH..,Read2,Exception reporting: heart failure quality indicators                                                                                                                                                                                                          ,PH968_v2146
HF,9On1.,Read2,Left ventricular dysfunction monitoring second letter                                                                                                                                                                                                          ,PH968_v2146
HF,G5804,Read2,Congestive heart failure due to valvular disease                                                                                                                                                                                                               ,PH968_v2146
HF,8HBE.,Read2,Heart failure follow-up                                                                                                                                                                                                                                        ,PH968_v2146
HF,662W.,Read2,Heart failure annual review                                                                                                                                                                                                                                    ,PH968_v2146
