pheno_name,code_clean,vocab,description,info
HT,I11,ICD10,Hypertensive heart disease,PH968_v2148
HT,I12,ICD10,Hypertensive renal disease,PH968_v2148
HT,I15,ICD10,Secondary hypertension,PH968_v2148
HT,I10,ICD10,Essential (primary) hypertension,PH968_v2148
HT,I13,ICD10,Hypertensive heart and renal disease,PH968_v2148
HT,G231.,Read2,Benign hypertensive heart and renal disease                                                                                                                                                                                                                    ,PH968_v2148
HT,G222.,Read2,Hypertensive renal disease with renal failure                                                                                                                                                                                                                  ,PH968_v2148
HT,TJC7z,Read2,Adverse reaction to antihypertensives NOS                                                                                                                                                                                                                      ,PH968_v2148
HT,F4213,Read2,Hypertensive retinopathy                                                                                                                                                                                                                                       ,PH968_v2148
HT,G24zz,Read2,Secondary hypertension NOS                                                                                                                                                                                                                                     ,PH968_v2148
HT,662c.,Read2,Hypertension six month review                                                                                                                                                                                                                                  ,PH968_v2148
HT,8BL0.,Read2,Patient on maximal tolerated antihypertensive therapy                                                                                                                                                                                                          ,PH968_v2148
HT,G21z.,Read2,Hypertensive heart disease NOS                                                                                                                                                                                                                                 ,PH968_v2148
HT,G210.,Read2,Malignant hypertensive heart disease                                                                                                                                                                                                                           ,PH968_v2148
HT,G233.,Read2,Hypertensive heart and renal disease with renal failure                                                                                                                                                                                                        ,PH968_v2148
HT,61462,Read2,Hypertension induced by oral contraceptive pill                                                                                                                                                                                                                ,PH968_v2148
HT,G672.,Read2,Hypertensive encephalopathy                                                                                                                                                                                                                                    ,PH968_v2148
HT,G21z1,Read2,Hypertensive heart disease NOS with CCF                                                                                                                                                                                                                        ,PH968_v2148
HT,G234.,Read2,Hyperten heart&renal dis+both(congestv)heart and renal fail                                                                                                                                                                                                    ,PH968_v2148
HT,G23..,Read2,Hypertensive heart and renal disease                                                                                                                                                                                                                           ,PH968_v2148
HT,G22..,Read2,Hypertensive renal disease                                                                                                                                                                                                                                     ,PH968_v2148
HT,662d.,Read2,Hypertension annual review                                                                                                                                                                                                                                     ,PH968_v2148
HT,Gyu21,Read2,[X]Hypertension secondary to other renal disorders                                                                                                                                                                                                             ,PH968_v2148
HT,L1220,Read2,Other pre-existing hypertension in preg/childb/puerp unspec                                                                                                                                                                                                    ,PH968_v2148
HT,L1280,Read2,Pre-exist hyperten heart dis compl preg childbth+puerperium                                                                                                                                                                                                    ,PH968_v2148
HT,G24z.,Read2,Secondary hypertension NOS                                                                                                                                                                                                                                     ,PH968_v2148
HT,G200.,Read2,Malignant essential hypertension                                                                                                                                                                                                                               ,PH968_v2148
HT,L127z,Read2,Pre-eclampsia or eclampsia + pre-existing hypertension NOS                                                                                                                                                                                                     ,PH968_v2148
HT,G221.,Read2,Benign hypertensive renal disease                                                                                                                                                                                                                              ,PH968_v2148
HT,F4042,Read2,Blind hypertensive eye                                                                                                                                                                                                                                         ,PH968_v2148
HT,G2100,Read2,Malignant hypertensive heart disease without CCF                                                                                                                                                                                                               ,PH968_v2148
HT,8B26.,Read2,Antihypertensive therapy                                                                                                                                                                                                                                       ,PH968_v2148
HT,G21zz,Read2,Hypertensive heart disease NOS                                                                                                                                                                                                                                 ,PH968_v2148
HT,9OI9.,Read2,Hypertens.monitor deleted                                                                                                                                                                                                                                      ,PH968_v2148
HT,G22z.,Read2,Hypertensive renal disease NOS                                                                                                                                                                                                                                 ,PH968_v2148
HT,G23z.,Read2,Hypertensive heart and renal disease NOS                                                                                                                                                                                                                       ,PH968_v2148
HT,G21..,Read2,Hypertensive heart disease                                                                                                                                                                                                                                     ,PH968_v2148
HT,L1221,Read2,Other pre-existing hypertension in preg/childb/puerp - deliv                                                                                                                                                                                                   ,PH968_v2148
HT,G202.,Read2,Systolic hypertension                                                                                                                                                                                                                                          ,PH968_v2148
HT,6628,Read2,Poor hypertension control                                                                                                                                                                                                                                      ,PH968_v2148
HT,21261,Read2,Hypertension resolved                                                                                                                                                                                                                                          ,PH968_v2148
HT,G24z0,Read2,Secondary renovascular hypertension NOS                                                                                                                                                                                                                        ,PH968_v2148
HT,G2111,Read2,Benign hypertensive heart disease with CCF                                                                                                                                                                                                                     ,PH968_v2148
HT,G24..,Read2,Secondary hypertension                                                                                                                                                                                                                                         ,PH968_v2148
HT,662r.,Read2,Trial withdrawal of antihypertensive therapy                                                                                                                                                                                                                   ,PH968_v2148
HT,G232.,Read2,Hypertensive heart&renal dis wth (congestive) heart failure                                                                                                                                                                                                    ,PH968_v2148
HT,G2y..,Read2,Other specified hypertensive disease                                                                                                                                                                                                                           ,PH968_v2148
HT,G20..,Read2,Essential hypertension                                                                                                                                                                                                                                         ,PH968_v2148
HT,L122z,Read2,Other pre-existing hypertension in preg/childb/puerp NOS                                                                                                                                                                                                       ,PH968_v2148
HT,G241z,Read2,Secondary benign hypertension NOS                                                                                                                                                                                                                              ,PH968_v2148
