pheno_name,code_clean,vocab,description,info
PE,I269,ICD10,Pulmonary embolism,PH978_v2156
PE,I260,ICD10,Pulmonary embolism,PH978_v2156
PE,7A0A1,Read2,Percutaneous transluminal embolectomy of pulmonary artery                                                                                                                                                                                                      ,PH978_v2156
PE,7A093,Read2,Open embolectomy of pulmonary artery                                                                                                                                                                                                                           ,PH978_v2156
PE,7A0B0,Read2,Pulmonary thromboendarterectomy                                                                                                                                                                                                                                ,PH978_v2156
PE,G4010,Read2,Post operative pulmonary embolus                                                                                                                                                                                                                               ,PH978_v2156
PE,G401.,Read2,Pulmonary embolism                                                                                                                                                                                                                                             ,PH978_v2156
PE,G4011,Read2,Recurrent pulmonary embolism                                                                                                                                                                                                                                   ,PH978_v2156
PE,14AC.,Read2,H/O: pulmonary embolus                                                                                                                                                                                                                                         ,PH978_v2156
PE,ZV129,Read2,[V] Personal history of pulmonary embolism                                                                                                                                                                                                                     ,PH978_v2156
PE,XaLgy,Read3,Pulmonary thromboendarterectomy                                                                                                                                                                                                                                ,PH978_v2156
PE,XE0Um,Read3,Pulmonary embolism                                                                                                                                                                                                                                             ,PH978_v2156
PE,G402.,Read3,Pulmonary embolism                                                                                                                                                                                                                                             ,PH978_v2156
PE,XE0Um,Read3,Pulmonary embolism                                                                                                                                                                                                                                             ,PH978_v2156
PE,XaOYV,Read3,Recurrent pulmonary embolism                                                                                                                                                                                                                                   ,PH978_v2156
PE,XaBMd,Read3,[V] Personal history of pulmonary embolism                                                                                                                                                                                                                     ,PH978_v2156
