pheno_name,code_clean,vocab,description,info
Stroke,I60,ICD10,Nontraumatic subarachnoid hemorrhage,PH983_v2162_PH85_v170
Stroke,I61,ICD10,Nontraumatic intracerebral hemorrhage,PH983_v2162_PH85_v170
Stroke,G45,ICD10,Transient cerebral ischaemic attacks and related syndromes,PH983_v2162_PH85_v170
Stroke,H34,ICD10,Retinal vascular occlusions,PH983_v2162_PH85_v170
Stroke,I630,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I638,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I635,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I64,ICD10,"Stroke, not specified as haemorrhage or infarction",PH983_v2162_PH85_v170
Stroke,I631,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I639,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I633,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,G951,ICD10,Avascular myelopathies (arterial or venous),PH983_v2162_PH85_v170
Stroke,I632,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,I634,ICD10,Cerebral infarction,PH983_v2162_PH85_v170
Stroke,G6W..,Read2,Cereb infarct due unsp occlus/stenos precerebr arteries                                                                                                                                                                                                        ,PH983_v2162_PH85_v170
Stroke,G641.,Read2,Cerebral embolism                                                                                                                                                                                                                                              ,PH983_v2162_PH85_v170
Stroke,1M4..,Read2,Central post-stroke pain                                                                                                                                                                                                                                       ,PH983_v2162_PH85_v170
Stroke,L440.,Read2,CVA - cerebrovascular accident in the puerperium                                                                                                                                                                                                               ,PH983_v2162_PH85_v170
Stroke,G668.,Read2,Right sided CVA                                                                                                                                                                                                                                                ,PH983_v2162_PH85_v170
Stroke,G665.,Read2,Pure motor lacunar syndrome                                                                                                                                                                                                                                    ,PH983_v2162_PH85_v170
Stroke,G64z4,Read2,Infarction of basal ganglia                                                                                                                                                                                                                                    ,PH983_v2162_PH85_v170
Stroke,G64z2,Read2,Left sided cerebral infarction                                                                                                                                                                                                                                 ,PH983_v2162_PH85_v170
Stroke,G63..,Read2,Infarction - precerebral                                                                                                                                                                                                                                       ,PH983_v2162_PH85_v170
Stroke,9h22.,Read2,Excepted from stroke quality indicators: Informed dissent                                                                                                                                                                                                      ,PH983_v2162_PH85_v170
Stroke,662M2,Read2,Stroke initial post discharge review                                                                                                                                                                                                                           ,PH983_v2162_PH85_v170
Stroke,9h2..,Read2,Exception reporting: stroke quality indicators                                                                                                                                                                                                                 ,PH983_v2162_PH85_v170
Stroke,G64z3,Read2,Right sided cerebral infarction                                                                                                                                                                                                                                ,PH983_v2162_PH85_v170
Stroke,662e.,Read2,Stroke/CVA annual review                                                                                                                                                                                                                                       ,PH983_v2162_PH85_v170
Stroke,9h21.,Read2,Excepted from stroke quality indicators: Patient unsuitable                                                                                                                                                                                                    ,PH983_v2162_PH85_v170
Stroke,662M.,Read2,Stroke monitoring                                                                                                                                                                                                                                              ,PH983_v2162_PH85_v170
Stroke,G64z0,Read2,Brainstem infarction                                                                                                                                                                                                                                           ,PH983_v2162_PH85_v170
Stroke,Gyu6G,Read2,[X]Cereb infarct due unsp occlus/stenos precerebr arteries                                                                                                                                                                                                     ,PH983_v2162_PH85_v170
Stroke,G667.,Read2,Left sided CVA                                                                                                                                                                                                                                                 ,PH983_v2162_PH85_v170
Stroke,ZV125,Read2,[V]Personal history of stroke                                                                                                                                                                                                                                  ,PH983_v2162_PH85_v170
Stroke,7P242,Read2,Delivery of rehabilitation for stroke                                                                                                                                                                                                                          ,PH983_v2162_PH85_v170
Stroke,14A7.,Read2,H/O: CVA/stroke                                                                                                                                                                                                                                                ,PH983_v2162_PH85_v170
Stroke,G64z1,Read2,Wallenberg syndrome                                                                                                                                                                                                                                            ,PH983_v2162_PH85_v170
Stroke,Fyu56,Read2,[X]Other lacunar syndromes                                                                                                                                                                                                                                     ,PH983_v2162_PH85_v170
Stroke,Gyu64,Read2,[X]Other cerebral infarction                                                                                                                                                                                                                                   ,PH983_v2162_PH85_v170
