Medicaiton category,Short name,Code type,Code,Description
Inhaled corticosteroid,ICS,dm+d,134498003,Budesonide+eformoterol fumarate 200/6mcg breath-actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,134499006,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320274007,Salmeterol+fluticasone propionate 25micrograms/50micrograms CFC-free inhaler
Inhaled corticosteroid,ICS,dm+d,320275008,Salmeterol+fluticasone propionate 25micrograms/125micrograms CFC-free inhaler
Inhaled corticosteroid,ICS,dm+d,320276009,Salmeterol+fluticasone propionate 25micrograms/250micrograms CFC-free  inhaler
Inhaled corticosteroid,ICS,dm+d,320277000,Salmeterol+fluticasone propionate 50micrograms/100micrograms breath-  actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320279002,Salmeterol+fluticasone propionate 50micrograms/250micrograms breath- actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320280004,Salmeterol+fluticasone propionate 50micrograms/500micrograms breath- actuated dry powder inhaler
Inhaled corticosteroid,ICS,dm+d,320487003,Beclometasone 400microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320488008,Beclometasone 400microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320490009,Beclometasone 50micrograms/dose breath actuated inhaler
Inhaled corticosteroid,ICS,dm+d,320491008,Beclometasone 250micrograms/dose breath actuated inhaler
Inhaled corticosteroid,ICS,dm+d,320492001,Beclometasone 100micrograms/dose breath actuated inhaler
Inhaled corticosteroid,ICS,dm+d,320520000,Beclometasone 400microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,320527002,Beclometasone 100microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320528007,Beclometasone 200microgram inhalation powder blisters with device
Inhaled corticosteroid,ICS,dm+d,320529004,Beclometasone 100microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320530009,Beclometasone 200microgram inhalation powder blisters
Inhaled corticosteroid,ICS,dm+d,320531008,Beclometasone 250micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320532001,Beclometasone 200micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320533006,Beclometasone 50micrograms/dose inhaler
Inhaled corticosteroid,ICS,dm+d,320534000,Beclometasone 100microgram inhalation powder capsules
Inhaled corticosteroid,ICS,dm+d,320535004,Beclometasone 200microgram inhalation powder capsules
