Medication cateogory,Short name,Code type,Code,Description
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,134498003,Budesonide+eformoterol fumarate 200/6mcg breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,134499006,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320096005,Salbutamol 4mg m/r tablet
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320099003,Salbutamol 4mg m/r capsule
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320100006,Salbutamol 8mg m/r capsule
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320104002,Salbutamol 4mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320106000,Salbutamol 2mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320107009,Salbutamol 8mg modified-release tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320108004,Salbutamol 2mg/5mL sugar free syrup
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320116008,Salbutamol 5mg/50ml solution for infusion vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320118009,Salbutamol 500micrograms/1mL injection
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320119001,Salbutamol 5mg/5mL intravenous infusion
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320132006,Salbutamol 200microgram inhalation powder blisters with device
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320133001,Salbutamol 400microgram inhalation powder blisters with device
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320134007,Salbutamol 200microgram inhalation powder blisters
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320135008,Salbutamol 400microgram inhalation powder blisters
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320136009,Salbutamol 100micrograms/dose breath actuated inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320139002,Salbutamol 100micrograms CFC-free inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320141001,Salbutamol 200micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320148007,Salbutamol 95micrograms/dose dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320151000,Salbutamol 100micrograms CFC-free breath-actuated aerosol inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320171009,Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320176004,Salbutamol 100micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320177008,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320178003,Salbutamol 200microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320179006,Salbutamol 400microgram inhalation powder capsules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320180009,Salbutamol 5mg/ml nebuliser liquid
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320199000,Terbutaline 2.5mg/5ml solution for injection ampoules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320200002,Terbutaline 10mg/ml nebuliser liquid
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320201003,Terbutaline 500micrograms/dose dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320203000,Terbutaline 5mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320205007,Terbutaline 500micrograms/1ml solution for injection ampoules
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320206008,Terbutaline sulfate 250micrograms inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320208009,Terbutaline 250micrograms/dose inhaler with spacer
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320211005,Terbutaline 7.5mg modified-release tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320212003,Terbutaline 1.5mg/5ml oral solution sugar free
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320244004,Salmeterol 25mcg inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320248001,Salmeterol 50microgram inhalation powder blisters with device
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320249009,Salmeterol 50microgram inhalation powder blisters
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320250009,Salmeterol 50micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320258002,Bambuterol 10mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320259005,Bambuterol 20mg tablets
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320263003,Eformoterol fumarate dihydrate 6micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320264009,Eformoterol fumarate dihydrate 12micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320274007,Salmeterol+fluticasone propionate 25micrograms/50micrograms CFC-free inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320275008,Salmeterol+fluticasone propionate 25micrograms/125micrograms CFC-free inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320276009,Salmeterol+fluticasone propionate 25micrograms/250micrograms CFC-free inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320277000,Salmeterol+fluticasone propionate 50micrograms/100micrograms breath- actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320279002,Salmeterol+fluticasone propionate 50micrograms/250micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320280004,Salmeterol+fluticasone propionate 50micrograms/500micrograms breath-actuated dry powder inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320440005,Fenoterol 100micrograms/dose / Ipratropium 40micrograms/dose inhaler
Beta2AdrenoceptorAgonistsSelective,SABA_LABA,dm+d,320441009,Fenoterol 100micrograms/dose / Ipratropium bromide 40micrograms/dose breath actuated inhaler
